Year,Crimes,Per Capita (100K)
2010,370152,13709.333333333334
2011,351743,13027.518518518518
2012,335913,12441.222222222223
2013,307017,11371.0
2014,275187,10192.111111111111
2015,263909,9774.407407407407
2016,268775,9954.62962962963
2017,267730,9915.925925925925
2018,212819,7882.185185185185
